"nodes","p2","p4","p8","p16","p24"
1000,5.85,6.17,6.43,7.14,7.93
10000,79.11,80.64,87.84,96.32,133.6
15000,115.47,120.52,133.72,160.7,226.93
20000,162.15,173.28,179.73,198.84,251.72
25000,209.58,215.49,226.63,259.17,374.97
30000,247.1,250.91,266.89,295.05,351.07
35000,291.59,300.03,324.03,341.93,429.87
40000,353.4,364.77,387.06,389.58,459.91
45000,387.92,391.72,403.97,446.26,571.77
50000,441.81,448.17,450.19,505.32,647.45
55000,472.2,476.76,500.51,570.84,632.66
60000,540.38,545.37,553.5,624.89,776.59
65000,568.53,580.6,604.43,621.39,771.04
70000,651.09,647.76,656.93,730.89,851.26
75000,683.24,702.58,708.76,775.38,912.25
80000,735.25,732.82,746.03,879.65,1052.52
85000,773.97,795.14,767.5,844.45,942.49
90000,852.66,837.94,880.1,977.49,1151.36
95000,893.48,902.49,951.57,979.49,1149.04
100000,916.83,904.25,888.75,964.42,1152.49
300000,3288.07,3245.89,3224.57,3413.93,3920.84
500000,5932.27,5719.2,5510.38,5641.52,6199.91
